1FA6P8JZ0L5552712;GT350®;In Order Processing;L6;85K;Currie Motors Ford of Valpo;2052 Morthland Drive Valparaiso, IN 46385;2020-10-06;;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.51H.MDS.19B.50B.ANT.457.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ2L5552713;GT350®;In Order Processing;N4;85E;Empire Ford of New Bedford;395 Mt. Pleasant Street New Bedford, MA 02746;2020-10-05;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.19B.50B.ANT.457.97Q.67L.67T.583.CSR.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ4L5552714;GT350®;In Order Processing;N4;85E;Brattleboro Ford;1147 Putney Road Brattleboro, VT 05301;2020-10-05;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.19B.50B.ANT.457.97Q.67T.583.CSR.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ6L5552715;GT350®;In Order Processing;JS;85K;Ron Tirapelli Ford, Inc.;4355 W Jefferson St Shorewood, IL 60404;2020-10-06;;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.19B.50B.ANT.457.67T.583.CSR.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ8L5552716;GT350®;In Order Processing;J7;85K;Ewald's Venus Ford, LLC;2727 E. Layton Ave. Cudahy, WI 53110;2020-10-06;;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.51H.MDS.19B.50B.ANT.457.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZXL5552717;GT350®;In Order Processing;D4;SLB;Broadway Ford;1010 South Military Ave. Green Bay, WI 54304;2020-10-06;;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.51H.MDS.19B.50B.ANT.457.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ1L5552718;GT350®;In Order Processing;G1;SLB;Dundee Ford;800 Dundee Avenue East Dundee, IL 60118;2020-10-06;;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.51H.MDS.19B.50B.ANT.457.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ3L5552719;GT350®;In Order Processing;YZ;85M;Zeigler Ford of North Riverside;2100 South Harlem Avenue North Riverside, IL 60546;2020-10-06;;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.51H.MDS.19B.50B.ANT.457.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZXL5552720;GT350®;In Order Processing;N4;85E;Baystate Ford, Inc.;703 Washington Street South Easton, MA 02375;2020-10-03;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.51H.MDS.19B.50B.ANT.457.97Q.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ1L5552721;GT350®;In Order Processing;N4;85E;Fair Oaks Ford;2055 West Ogden Avenue Naperville, IL 60540;2020-10-06;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.51H.MDS.19B.50B.ANT.457.97Q.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ3L5552722;GT350®;In Order Processing;E7;85L;Ewald's Venus Ford, LLC;2727 E. Layton Ave. Cudahy, WI 53110;2020-10-06;;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.51H.MDS.19B.50B.ANT.457.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ5L5552723;GT350®;In Order Processing;G1;85L;Currie Motors Frankfort Inc;9423 W Lincoln Hwy Frankfort, IL 60423;2020-10-06;;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.51H.MDS.19B.50B.ANT.457.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ7L5552724;GT350®;In Order Processing;D4;85L;Chatham Ford, Inc.;781 Main Street Chatham, MA 02633;2020-09-24;;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.21S.51H.MDS.19B.50B.ANT.457.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ9L5552725;GT350®;In Order Processing;N4;85E;Bob Rohrman's Schaumburg Ford;815 E. Golf Rd. Schaumburg, IL 60173;2020-10-06;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.19B.50B.ANT.457.97Q.67L.67T.583.CSR.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ0L5552726;GT350®;In Order Processing;N4;85E;Uftring Ford, Inc.;500 Fairlane Drive East Peoria, IL 61611;2020-10-06;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.21S.19B.50B.ANT.457.97Q.67L.67T.583.CSR.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ2L5552727;GT350®;In Order Processing;FM;85K;Integrity Ford, Inc.;860 E Perry Paulding, OH 45879;2020-07-13;;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.21S.51H.MDS.19B.50B.ANT.457.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ4L5552728;GT350®;In Order Processing;N4;85E;Stoneham Motor Co Inc;185 Main St Stoneham, MA 02180;2019-12-19;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.51H.MDS.19B.50B.ANT.457.97Q.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ6L5552729;GT350®;In Order Processing;G1;SLB;Jannell Motors Inc;2000 Washington Street, Route 53 Hanover, MA 02339;2020-06-25;;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.21S.51H.MDS.19B.50B.ANT.457.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ2L5552730;GT350®;In Order Processing;N4;85E;Corwin Ford Tri-Cities;1225 North Autoplex Way Pasco, WA 99301;2020-02-15;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.51H.MDS.19B.50B.ANT.457.97Q.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ4L5552731;GT350®;In Order Processing;CA;85K;Ray Price Stroud Ford;6320 Business Route 209 Stroudsburg, PA 18360;2020-03-31;;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.51H.MDS.19B.50B.ANT.457.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ6L5552732;GT350®;In Order Processing;N4;85E;Jacky W Jones Ford, Inc.;2742 Highway 129 South Cleveland, GA 30528;2020-01-08;;SLB.RWD.99Z.90L.64S.SSR.17F.L59.SED.574.WCC.51H.PDS.19B.ANT.457.97Q.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ8L5552733;GT350®;In Order Processing;N4;85E;Kindle Ford;525 Stone Harbor Blvd Cape May Court House, NJ 08210;2019-09-10;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.51H.MDS.19B.50B.ANT.457.97Q.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZXL5552734;GT350®;In Order Processing;N4;85E;Midway Ford;8155 W Flagler St Miami, FL 33144;2020-01-13;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.51H.MDS.19B.50B.ANT.457.97Q.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ1L5552735;GT350®;In Order Processing;E7;85L;Ricart Ford;4255 S Hamilton Rd Groveport, OH 43125;2020-09-16;;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.21S.51H.MDS.19B.50B.ANT.457.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ3L5552736;GT350®;In Order Processing;N4;85E;Fremont Ford;39700 Balentine Drive Newark, CA 94560;2020-10-09;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.51H.MDS.19B.50B.ANT.457.97Q.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ5L5552737;GT350®;In Order Processing;N4;85E;Pinnacle Ford;4080 Lexington Road Nicholasville, KY 40356;2020-06-29;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.21S.51H.MDS.19B.50B.ANT.457.97Q.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ7L5552738;GT350®;In Order Processing;L6;85L;Tom Holzer Ford, Inc.;39300 West Ten Mile Farmington Hills, MI 48335;2020-02-24;;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.51H.MDS.19B.50B.ANT.457.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ9L5552739;GT350®;In Order Processing;N4;85E;Gresham Ford;1999 East Powell Boulevard Gresham, OR 97080;2020-02-08;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.21S.51H.MDS.19B.50B.ANT.457.97Q.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ5L5552740;GT350®;In Order Processing;G1;SLB;Toothman & Sowers Ford;2231 White Hall Boulevard Whitehall, WV 26554;2020-09-03;;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.51H.MDS.19B.50B.ANT.457.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ7L5552741;GT350®;In Order Processing;N4;85E;Ford Fairfield;3050 Auto Mall Court Fairfield, CA 94534;2020-06-21;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.19B.50B.ANT.457.97Q.67L.67T.583.CSR.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ9L5552742;GT350®;In Order Processing;N4;85E;Herb Chambers Ford of Westborough;310 Turnpike Road Westborough, MA 01581;2020-02-01;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.51H.MDS.19B.50B.ANT.457.97Q.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ0L5552743;GT350®;In Order Processing;G1;SLB;Priority Ford;3420 North Military Highway Norfolk, VA 23518;2020-07-18;;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.19B.50B.ANT.457.67L.67T.583.CSR.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ2L5552744;GT350®;In Order Processing;N4;85E;Laura Ford of Sullivan, LLC;47 North Service Road West Sullivan, MO 63080;2020-03-25;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.51H.MDS.19B.50B.ANT.457.97Q.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ4L5552745;GT350®;In Order Processing;J7;85K;Klaben Ford of Warren;3853 Youngstown Road Warren, OH 44484;2020-10-01;;SLB.94B.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.19B.50B.ANT.457.67L.67T.583.CSR.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ6L5552746;GT350®;In Order Processing;N4;85E;D & D Motors, Inc.;13655 East Wade Hampton Blvd. Greer, SC 29651;2020-10-02;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.51H.MDS.19B.50B.ANT.457.97Q.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ8L5552747;GT350®;In Order Processing;N4;85E;Tri Motor Sales, Inc.;1430 Rt 19 South Oak Harbor, OH 43449;2020-07-13;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.51H.MDS.19B.50B.ANT.457.97Q.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZXL5552748;GT350®;In Order Processing;J7;85K;Sarchione Ford, Inc.;1668 State Route 44 Randolph, OH 44265;2020-10-01;;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.51H.MDS.19B.50B.ANT.457.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ1L5552749;GT350®;In Order Processing;PQ;SLB;Sarchione Ford, Inc.;1668 State Route 44 Randolph, OH 44265;2020-10-01;;SLB.94B.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.51H.MDS.19B.50B.ANT.457.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ8L5552750;GT350®;In Order Processing;N4;85E;Lee Motor Company Inc;4170 Raleigh Road Parkway West Wilson, NC 27896;2020-03-04;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.51H.MDS.19B.50B.ANT.457.97Q.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZXL5552751;GT350®;In Order Processing;FM;85L;Dovi Motors, Inc.;263 Tompkins Street Cortland, NY 13045;2020-09-30;;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.51H.MDS.19B.50B.ANT.457.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ1L5552752;GT350®;In Order Processing;N4;85E;Sarchione Ford, Inc.;1668 State Route 44 Randolph, OH 44265;2020-10-01;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.51H.MDS.19B.50B.ANT.457.97Q.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ3L5552753;GT350®;In Order Processing;FM;85K;Miller Ford;1196 Milwaukee Ave. Burlington, WI 53105;2020-10-12;;SLB.RWD.99Z.64S.SSR.17F.L59.SED.574.WCC.21S.19B.ANT.457.67L.583.CSR.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ5L5552754;GT350®;In Order Processing;N4;85E;Wills Point Ford, Inc.;618 Houston St. Wills Point, TX 75169;2020-10-14;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.19B.50B.ANT.457.97Q.67T.583.CSR.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ7L5552755;GT350®;In Order Processing;N4;85E;Cutter Ford, Inc.;98-015 Kamehameha Aiea, HI 96701;2020-10-08;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.19B.50B.ANT.457.97Q.67L.67T.583.CSR.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ9L5552756;GT350®;In Order Processing;L6;85L;Terrebonne Ford;339 St. Charles Street Houma, LA 70360;2020-10-09;;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.19B.50B.ANT.457.67L.67T.583.CSR.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ0L5552757;GT350®;In Order Processing;N4;85E;Chatsworth Ford;2790 Highway 76 Chatsworth, GA 30705;2020-08-31;;SLB.RWD.99Z.90L.64S.SSR.17F.L59.SED.574.WCC.21S.19B.ANT.457.97Q.583.CSR.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ2L5552758;GT350®;In Order Processing;N4;85E;Sheridan Ford Sales;4001 Kirkwood Highway Wilmington, DE 19808;2020-07-13;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.51H.MDS.19B.50B.ANT.457.97Q.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ4L5552759;GT350®;In Order Processing;G1;85L;Sarchione Ford, Inc.;1668 State Route 44 Randolph, OH 44265;2020-10-01;;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.51H.MDS.19B.50B.ANT.457.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ0L5552760;GT350®;In Order Processing;N4;85E;AutoNation Ford Frisco;6850 Highway 121 Frisco, TX 75036;2020-10-08;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.51H.MDS.19B.50B.ANT.457.97Q.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ2L5552761;GT350®;In Order Processing;D4;85K;AutoNation Ford Littleton;8252 S Broadway Littleton, CO 80122;2020-10-02;;SLB.94B.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.19B.50B.ANT.457.67L.67T.583.CSR.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ4L5552762;GT350®;In Order Processing;G1;SLB;Tipton Ford, Inc.;965 East Jefferson Tipton, IN 46072;2020-10-06;;SLB.RWD.99Z.64S.SSR.17F.L59.SED.574.WCC.19B.ANT.457.67L.583.CSR.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ6L5552763;GT350®;In Order Processing;N4;85E;Foothill Ford;3220 Cook School Road Pilot Mountain, NC 27041;2020-09-03;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.51H.MDS.19B.50B.ANT.457.97Q.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ8L5552764;GT350®;In Order Processing;N4;85E;Irwin Ford Laconia;59 Bisson Avenue Laconia, NH 03246;2020-10-09;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.21S.51H.MDS.19B.50B.ANT.457.97Q.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZXL5552765;GT350®;In Order Processing;CA;85K;E. J. Barrette & Sons, Inc.;Route 78 Swanton, VT 05488;2020-10-02;;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.19B.50B.ANT.457.67T.583.CSR.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ1L5552766;GT350®;In Order Processing;G1;85L;Family Ford;909 Pike Street Marietta, OH 45750;2020-10-13;;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.19B.50B.ANT.457.67L.67T.583.CSR.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ3L5552767;GT350®;In Order Processing;N4;85E;Fairway Ford;366 West Main Street Canfield, OH 44406;2020-10-01;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.19B.50B.ANT.457.97Q.67L.67T.583.CSR.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ5L5552768;GT350®;In Order Processing;F9;SLB;Hagerstown Ford;1714 Massey Blvd. Hagerstown, MD 21740;2020-10-01;;SLB.94B.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.51H.MDS.19B.50B.ANT.457.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ7L5552769;GT350®;In Order Processing;N4;85E;Fairway Ford;366 West Main Street Canfield, OH 44406;2020-10-01;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.19B.50B.ANT.457.97Q.67L.67T.583.CSR.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ3L5552770;GT350®;In Order Processing;N4;85E;Sexton Ford Sales, Inc.;3802 16th Street Moline, IL 61265;2020-10-09;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.51H.MDS.19B.50B.ANT.457.97Q.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ5L5552771;GT350®;In Order Processing;JS;85K;Spradley/Barr Ford, Inc.;4809 S. College Avenue Ft Collins, CO 80525;2020-10-14;;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.21S.51H.MDS.19B.50B.ANT.457.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ7L5552772;GT350®;In Order Processing;G1;85L;Jimmy Granger's Natchitoches Ford;7501 Highway 1 Bypass Natchitoches, LA 71457;2020-08-20;;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.51H.MDS.19B.50B.ANT.457.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ9L5552773;GT350®;In Order Processing;N4;85E;Southworth Ford, Inc.;1430 N. Baldwin Ave Marion, IN 46952;2020-10-06;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.51H.MDS.19B.50B.ANT.457.97Q.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ0L5552774;GT350®;In Order Processing;L6;85K;Whitmoyer Ford, Inc.;1001 East Main Street Mount Joy, PA 17552;2020-09-30;;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.51H.MDS.19B.50B.ANT.457.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
